"filename", "language", "JSON", "CSS", "Markdown", "XML", "JavaScript JSX", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Item\Item.css", "CSS", 0, 96, 0, 0, 0, 0, 0, 7, 2, 105
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Item\Item.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 1, 9, 114
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\NewArrivals\NewArrivals.css", "CSS", 0, 64, 0, 0, 0, 0, 0, 0, 4, 68
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\NewArrivals\NewArrivals.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 6, 72
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\NewsLetter\NewsLetter.css", "CSS", 0, 54, 0, 0, 0, 0, 0, 0, 2, 56
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\NewsLetter\NewsLetter.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Offers\Offers.css", "CSS", 0, 54, 0, 0, 0, 0, 0, 0, 3, 57
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Offers\Offers.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\OrderItems\OrderItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Orders\OrderHistory.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Orders\PaginationOrders.jsx", "JavaScript JSX", 0, 0, 0, 0, 145, 0, 0, 2, 10, 157
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Orders\UserProfile\ChangePassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 147, 0, 0, 0, 5, 152
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Orders\UserProfile\UserDataView.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Orders\UserProfile\UserDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 101, 0, 0, 0, 4, 105
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Orders\UserProfile\UserEditForm.css", "CSS", 0, 254, 0, 0, 0, 0, 0, 2, 3, 259
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Orders\UserProfile\UserEditForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 448, 0, 0, 14, 27, 489
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Popular\Popular.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 5, 75
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Popular\popular.css", "CSS", 0, 109, 0, 0, 0, 0, 0, 1, 8, 118
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\ProductSpecs\ProductSpecs.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\ProductSpecs\ProductSpecs.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Searchbar\Searchbar.css", "CSS", 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Searchbar\Searchbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 4, 59
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\SignUp\UserSignup.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 14, 8, 193
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\SignUp\UserSignupDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 383, 0, 0, 0, 22, 405
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Snackbar\Snackbar.css", "CSS", 0, 64, 0, 0, 0, 0, 0, 0, 6, 70
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Snackbar\Snackbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 5, 38
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Unused\navbar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 88, 1, 89
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Unused\navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 150, 0, 0, 0, 6, 156
